query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
mineral sunscreen that doesn't leave white cast,openai,gpt-3.5-turbo,2025-09-03T18:41:09.444347,2491,0.8,3,False,3,3,True,True,,"coola, drunk elephant, eltamd"
mineral sunscreen that doesn't leave white cast,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:41:18.004337,1657,0.8,3,False,3,3,True,False,,"coola, supergoop, eltamd"
mineral sunscreen that doesn't leave white cast,google,gemini-1.5-pro,2025-09-03T18:41:24.138403,3997,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, thinkbaby, supergoop"
sunscreen for acne prone skin mineral,openai,gpt-4,2025-09-03T18:41:22.621570,2254,0.9000000000000001,6,False,3,3,False,True,,"blue lizard, eltamd, neutrogena"
sunscreen for acne prone skin mineral,openai,gpt-3.5-turbo,2025-09-03T18:41:22.688495,2121,0.7,2,False,2,2,True,True,,"cerave, eltamd"
sunscreen for acne prone skin mineral,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:41:30.830580,2072,0.8,3,False,3,3,True,False,,"cerave, supergoop, eltamd"
sunscreen for acne prone skin mineral,google,gemini-1.5-pro,2025-09-03T18:41:39.772830,4198,0.9000000000000001,4,False,4,4,True,True,,"thinkbaby, cerave, supergoop"
mineral sunscreen for dark skin tones,openai,gpt-4,2025-09-03T18:41:34.671950,2103,0.9000000000000001,6,False,2,2,True,False,,"supergoop, eltamd"
mineral sunscreen for dark skin tones,openai,gpt-3.5-turbo,2025-09-03T18:41:28.197432,2399,0.9000000000000001,4,False,4,4,True,True,,"cerave, supergoop, eltamd"
mineral sunscreen for dark skin tones,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:41:39.864287,2302,0.5,0,False,16,16,True,False,,"a woman of, additional tips, important considerations"
mineral sunscreen for dark skin tones,google,gemini-1.5-pro,2025-09-03T18:41:42.791625,3780,0.9000000000000001,5,False,5,5,True,True,,"sun bum, blue lizard, thinkbaby"
non greasy mineral sunscreen,openai,gpt-4,2025-09-03T18:41:49.943394,2454,0.9000000000000001,8,False,4,4,True,True,,"blue lizard, cerave, eltamd"
non greasy mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:41:40.197526,2567,0.8,3,False,3,3,True,True,,"blue lizard, coola, eltamd"
non greasy mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:41:50.503220,1588,0.8,3,False,3,3,True,False,,"cerave, supergoop, eltamd"
non greasy mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:41:53.696874,3595,0.9000000000000001,5,False,4,4,True,True,,"supergoop, cerave, thinksport"
mineral sunscreen for kids sensitive skin,openai,gpt-4,2025-09-03T18:41:57.812014,2482,0.9000000000000001,10,False,5,5,True,True,,"aveeno, blue lizard, neutrogena"
mineral sunscreen for kids sensitive skin,openai,gpt-3.5-turbo,2025-09-03T18:41:48.644379,2422,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, coola, thinkbaby"
mineral sunscreen for kids sensitive skin,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:42:01.338473,2331,0.9000000000000001,6,False,6,6,True,False,,"blue lizard, cerave, thinksport"
mineral sunscreen for kids sensitive skin,google,gemini-1.5-pro,2025-09-03T18:42:02.964342,3329,0.9000000000000001,6,False,5,5,True,True,,"aveeno, blue lizard, cerave"
sunscreen that won't clog pores mineral,openai,gpt-4,2025-09-03T18:42:08.350845,2238,0.9000000000000001,7,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
sunscreen that won't clog pores mineral,openai,gpt-3.5-turbo,2025-09-03T18:41:58.333831,2005,0.7,2,False,2,2,True,True,,"coola, eltamd"
sunscreen that won't clog pores mineral,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:42:09.663119,1738,0.8,3,False,3,3,True,False,,"cerave, supergoop, eltamd"
sunscreen that won't clog pores mineral,google,gemini-1.5-pro,2025-09-03T18:42:14.473051,4152,0.9000000000000001,4,False,3,3,True,True,,"cerave, supergoop, eltamd"
mineral sunscreen for rosacea,openai,gpt-4,2025-09-03T18:42:20.629032,2564,0.9000000000000001,6,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
mineral sunscreen for rosacea,openai,gpt-3.5-turbo,2025-09-03T18:42:08.842469,2772,0.8,3,False,3,3,True,True,,"aveeno, cerave, eltamd"
mineral sunscreen for rosacea,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:42:26.478878,2720,0.9000000000000001,4,False,1,1,True,True,,eltamd
mineral sunscreen for rosacea,google,gemini-1.5-pro,2025-09-03T18:42:23.230932,3913,0.8,3,False,2,2,True,True,,"cerave, eltamd"
hypoallergenic mineral sunscreen,openai,gpt-4,2025-09-03T18:42:26.673006,2285,0.9000000000000001,8,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
hypoallergenic mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:42:24.930792,1642,0.7,2,False,2,2,True,True,,"cerave, eltamd"
hypoallergenic mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:42:34.531421,2283,0.9000000000000001,4,False,2,2,True,False,,"cerave, eltamd"
hypoallergenic mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:42:49.177790,3935,0.9000000000000001,6,False,6,6,True,True,,"blue lizard, cerave, thinkbaby"
fragrance free mineral sunscreen,openai,gpt-4,2025-09-03T18:42:49.432005,3185,0.9000000000000001,11,False,4,4,True,True,,"blue lizard, coola, eltamd"
fragrance free mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:42:31.474670,2173,0.9000000000000001,5,False,4,4,True,True,,"aveeno, blue lizard, cerave"
fragrance free mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:42:39.183780,1990,0.9000000000000001,4,False,4,4,True,False,,"blue lizard, cerave, eltamd"
fragrance free mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:42:46.452266,3661,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, thinkbaby, badger"
mineral sunscreen for eczema,openai,gpt-4,2025-09-03T18:42:53.891919,2435,0.9000000000000001,7,False,4,4,True,True,,"aveeno, blue lizard, eltamd"
mineral sunscreen for eczema,openai,gpt-3.5-turbo,2025-09-03T18:42:43.274934,2428,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, cerave, badger"
mineral sunscreen for eczema,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:42:57.623936,2333,0.9000000000000001,6,False,3,3,True,True,,"cerave, badger, eltamd"
mineral sunscreen for eczema,google,gemini-1.5-pro,2025-09-03T18:43:00.945979,3619,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, cerave, thinkbaby"
pregnancy safe mineral sunscreen,openai,gpt-4,2025-09-03T18:43:09.027678,2933,0.8,3,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
pregnancy safe mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:42:54.081820,2015,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, thinksport, coola"
pregnancy safe mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:43:08.463512,2205,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, cerave, supergoop"
pregnancy safe mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:43:08.933774,4022,0.9000000000000001,5,False,5,5,True,True,,"sun bum, blue lizard, thinksport"
mineral sunscreen for oily skin,openai,gpt-4,2025-09-03T18:43:10.126258,1814,0.9000000000000001,4,False,2,2,True,True,,"supergoop, eltamd"
mineral sunscreen for oily skin,openai,gpt-3.5-turbo,2025-09-03T18:43:06.547871,2021,0.7,2,False,2,2,True,True,,"cerave, eltamd"
mineral sunscreen for oily skin,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:43:20.114237,2134,0.9000000000000001,4,False,2,2,True,False,,"supergoop, eltamd"
mineral sunscreen for oily skin,google,gemini-1.5-pro,2025-09-03T18:43:21.898088,3621,0.9000000000000001,4,True,3,4,True,True,"* **Brush On Block Mineral Powder Sunscreen SPF 30:**  Another good brush-on powder option, this is water-resistant and reef-safe","cerave, supergoop, eltamd"
how to apply powder sunscreen correctly,openai,gpt-4,2025-09-03T18:43:35.790373,2700,0.7,3,False,1,1,True,False,,supergoop
how to apply powder sunscreen correctly,openai,gpt-3.5-turbo,2025-09-03T18:43:13.358810,2158,0.5,1,False,1,1,True,True,,supergoop
how to apply powder sunscreen correctly,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:43:25.360897,2040,0.6000000000000001,1,False,1,1,True,False,,supergoop
how to apply powder sunscreen correctly,google,gemini-1.5-pro,2025-09-03T18:43:29.492076,3937,0.9000000000000001,4,True,2,3,True,True,"**Recommended Powder Sunscreens:**

**For Face:**

* **Brush On Block® Mineral Powder Sunscreen SPF 30:** This translucent powder is great for all skin types, including sensitive skin","thinkbaby, supergoop"
powder sunscreen over makeup tutorial,openai,gpt-4,2025-09-03T18:43:39.176313,2743,0.7,2,False,1,1,True,True,,supergoop
powder sunscreen over makeup tutorial,openai,gpt-3.5-turbo,2025-09-03T18:43:25.280233,1964,0.7,2,True,1,2,True,False,**Brush On Block Translucent Mineral Powder Sunscreen SPF 30**: This mineral powder sunscreen is translucent and suitable for all skin tones,supergoop
powder sunscreen over makeup tutorial,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:43:35.351527,1287,0.6000000000000001,1,False,1,1,True,True,,supergoop
powder sunscreen over makeup tutorial,google,gemini-1.5-pro,2025-09-03T18:43:41.903801,4042,0.7,2,True,1,2,True,False,"* **Brush On Block Mineral Powder Sunscreen SPF 30:** Another excellent option for sensitive skin, this fragrance-free powder is also water-resistant (80 minutes) and blends seamlessly",supergoop
reapplying powder sunscreen during day,openai,gpt-4,2025-09-03T18:43:49.938975,2375,0.8,3,False,1,1,True,True,,supergoop
reapplying powder sunscreen during day,openai,gpt-3.5-turbo,2025-09-03T18:43:38.685957,2204,0.6000000000000001,1,False,1,1,True,True,,supergoop
reapplying powder sunscreen during day,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:43:46.843560,1532,0.7,2,True,1,2,True,False,"(Re)setting Powder SPF 35
- Works well over makeup
- Contains ceramic microspheres for oil control
- Silky finish
- Available in multiple shades
- Great for touch-ups

Reapplication Tips:
- Reapply every 2 hours when outdoors
- After swimming/sweating, use liquid/cream sunscreen instead
- Apply in circular motions for even coverage
- Use about 2-3 passes over each area
- Pay special attention to nose, forehead, and cheeks

Benefits of Powder Sunscreen:
- Won't disturb makeup
- Helps control shine
- Convenient for on-the-go
- Good for all skin types
- Can be used over other skincare products

Additional Options:
- Peter Thomas Roth Instant Mineral SPF 45
- Jane Iredale Powder-Me SPF 30
- Brush On Block Mineral Powder Sunscreen SPF 30

Best Practices:
- Use as secondary protection/touch-up
- Still apply regular sunscreen as primary protection
- Keep in bag/car for easy access
- Replace annually
- Store away from heat/humidity",supergoop
reapplying powder sunscreen during day,google,gemini-1.5-pro,2025-09-03T18:43:53.886520,3730,0.7,2,True,1,2,True,False,"**For Initial Sun Protection (with caveats):**

* **Brush On Block Mineral Powder Sunscreen SPF 30:** This is a good option for sensitive skin and those who prefer mineral sunscreens",supergoop
setting powder with SPF vs sunscreen,openai,gpt-4,2025-09-03T18:43:57.944300,2654,0.8,6,False,2,2,True,True,,"neutrogena, supergoop"
setting powder with SPF vs sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:43:49.690038,2200,0.5,2,False,2,2,True,True,,"supergoop, eltamd"
setting powder with SPF vs sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:43:57.334195,1565,0.6000000000000001,2,False,2,2,True,False,,"supergoop, eltamd"
setting powder with SPF vs sunscreen,google,gemini-1.5-pro,2025-09-03T18:44:04.998745,3733,0.9000000000000001,4,False,3,3,True,True,,"cerave, supergoop, eltamd"
mineral sunscreen application tips,openai,gpt-4,2025-09-03T18:44:04.388879,2559,0.9000000000000001,8,False,4,4,True,True,,"blue lizard, coola, eltamd"
mineral sunscreen application tips,openai,gpt-3.5-turbo,2025-09-03T18:43:57.614231,2157,0.7,2,False,2,2,True,True,,"coola, eltamd"
mineral sunscreen application tips,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:44:11.551274,2026,0.6000000000000001,1,False,1,1,True,False,,eltamd
mineral sunscreen application tips,google,gemini-1.5-pro,2025-09-03T18:44:15.615688,4452,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, cerave, thinkbaby"
how much powder sunscreen to use,openai,gpt-4,2025-09-03T18:44:11.633153,2355,0.8,3,False,1,1,True,False,,supergoop
how much powder sunscreen to use,openai,gpt-3.5-turbo,2025-09-03T18:44:08.652710,2113,0.6000000000000001,1,False,1,1,True,False,,supergoop
how much powder sunscreen to use,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:44:17.771733,1552,0.30000000000000004,1,False,1,1,True,False,,supergoop
how much powder sunscreen to use,google,gemini-1.5-pro,2025-09-03T18:44:23.396395,3713,0.8,3,True,2,3,True,True,* **Brush On Block Mineral Sunscreen Powder SPF 30:** Another excellent mineral option that comes in translucent and tinted versions,"sun bum, supergoop"
powder sunscreen for touch ups,openai,gpt-4,2025-09-03T18:44:30.226631,2236,0.7,2,False,1,1,True,True,,supergoop
powder sunscreen for touch ups,openai,gpt-3.5-turbo,2025-09-03T18:44:16.438976,2163,0.7,2,True,1,2,True,True,"**Brush On Block Translucent Mineral Powder Sunscreen SPF 30**
   - **Ingredients:** Mineral-based formula with zinc oxide and titanium dioxide",supergoop
powder sunscreen for touch ups,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:44:27.988082,1465,0.8,3,True,2,3,True,False,"Brush On Block Mineral Sunscreen Powder SPF 30
- Refillable system
- Natural minerals
- Good for sensitive skin
- Won't clog pores
- Travel-friendly

Budget-Friendly:
1","hawaiian tropic, supergoop"
powder sunscreen for touch ups,google,gemini-1.5-pro,2025-09-03T18:44:31.341995,3511,0.6000000000000001,1,True,0,1,True,True,"**For a Budget-Friendly Option:**

* **Brand:** Brush On Block
* **Product:** Mineral Powder Sunscreen SPF 30
* **Ingredients:** Titanium Dioxide 22",
layering mineral sunscreen with skincare,openai,gpt-4,2025-09-03T18:44:36.410310,2605,0.8,8,False,4,4,True,True,,"coola, supergoop, eltamd"
layering mineral sunscreen with skincare,openai,gpt-3.5-turbo,2025-09-03T18:44:27.157877,2130,0.7,2,False,2,2,True,True,,"cerave, eltamd"
layering mineral sunscreen with skincare,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:44:43.162248,2173,0.7,2,False,2,2,True,True,,"cerave, eltamd"
layering mineral sunscreen with skincare,google,gemini-1.5-pro,2025-09-03T18:44:45.211440,4002,0.9000000000000001,7,False,6,6,True,True,,"aveeno, cerave, thinksport"
mineral sunscreen under foundation,openai,gpt-4,2025-09-03T18:45:00.870666,3321,0.9000000000000001,12,False,4,4,True,True,,"coola, supergoop, eltamd"
mineral sunscreen under foundation,openai,gpt-3.5-turbo,2025-09-03T18:44:34.111620,1937,0.7,2,False,2,2,True,True,,"coola, eltamd"
mineral sunscreen under foundation,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:44:46.340128,1867,0.8,3,False,3,3,True,False,,"cerave, supergoop, eltamd"
mineral sunscreen under foundation,google,gemini-1.5-pro,2025-09-03T18:44:48.894978,3455,0.9000000000000001,5,False,4,4,True,True,,"blue lizard, thinkbaby, cerave"
best way to blend powder sunscreen,openai,gpt-4,2025-09-03T18:45:01.750518,3241,0.5,0,False,14,14,True,True,,"protection brush, peter thomas roth, the sun"
best way to blend powder sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:44:48.076919,1413,0.2,0,False,7,7,True,False,,"following these blending, right brush, key areas"
best way to blend powder sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:44:58.640887,1543,0.5,0,False,13,13,True,True,,"protection brush, mineral brush powder, peter thomas roth"
best way to blend powder sunscreen,google,gemini-1.5-pro,2025-09-03T18:45:04.099735,4003,0.7,2,True,1,2,True,True,"**For Sensitive Skin:**

* **Brush On Block Mineral Powder Sunscreen SPF 30:** This fragrance-free and hypoallergenic option is suitable for sensitive skin",supergoop
zinc oxide vs titanium dioxide sunscreen,openai,gpt-4,2025-09-03T18:45:17.265464,3393,0.9000000000000001,8,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
zinc oxide vs titanium dioxide sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:45:04.011882,1954,0.7,2,False,2,2,True,True,,"blue lizard, eltamd"
zinc oxide vs titanium dioxide sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:45:12.646254,1633,0.9000000000000001,5,False,3,3,True,False,,"neutrogena, cerave, eltamd"
zinc oxide vs titanium dioxide sunscreen,google,gemini-1.5-pro,2025-09-03T18:45:16.339194,3896,0.9000000000000001,4,False,4,4,True,False,,"thinkbaby, cerave, badger"
